curr_prob,curr_search,Expansions,Goal Tests,New Nodes,Run Time,Actions
Air Cargo Problem 1,breadth_first_search,43,56,180,0.027285132971783605,"['Load(C2, P2, JFK)', 'Load(C1, P1, SFO)', 'Fly(P2, JFK, SFO)', 'Unload(C2, P2, SFO)', 'Fly(P1, SFO, JFK)', 'Unload(C1, P1, JFK)']"
Air Cargo Problem 1,depth_first_graph_search,12,13,48,0.008828113429762266,"['Fly(P1, SFO, JFK)', 'Fly(P2, JFK, SFO)', 'Load(C1, P2, SFO)', 'Fly(P2, SFO, JFK)', 'Fly(P1, JFK, SFO)', 'Unload(C1, P2, JFK)', 'Fly(P2, JFK, SFO)', 'Fly(P1, SFO, JFK)', 'Load(C2, P1, JFK)', 'Fly(P2, SFO, JFK)', 'Fly(P1, JFK, SFO)', 'Unload(C2, P1, SFO)']"
Air Cargo Problem 1,uniform_cost_search,55,57,224,0.03649019372765291,"['Load(C1, P1, SFO)', 'Load(C2, P2, JFK)', 'Fly(P1, SFO, JFK)', 'Fly(P2, JFK, SFO)', 'Unload(C1, P1, JFK)', 'Unload(C2, P2, SFO)']"
Air Cargo Problem 1,greedy_best_first_graph_search with h_1,7,9,28,0.003639357673293514,"['Load(C1, P1, SFO)', 'Load(C2, P2, JFK)', 'Fly(P1, SFO, JFK)', 'Fly(P2, JFK, SFO)', 'Unload(C1, P1, JFK)', 'Unload(C2, P2, SFO)']"
Air Cargo Problem 1,astar_search with h_1,55,57,224,0.032250682313448104,"['Load(C1, P1, SFO)', 'Load(C2, P2, JFK)', 'Fly(P1, SFO, JFK)', 'Fly(P2, JFK, SFO)', 'Unload(C1, P1, JFK)', 'Unload(C2, P2, SFO)']"
Air Cargo Problem 1,astar_search with h_ignore_preconditions,41,43,170,0.030720325535801174,"['Load(C1, P1, SFO)', 'Fly(P1, SFO, JFK)', 'Unload(C1, P1, JFK)', 'Load(C2, P2, JFK)', 'Fly(P2, JFK, SFO)', 'Unload(C2, P2, SFO)']"
Air Cargo Problem 1,astar_search with h_pg_levelsum,11,13,50,0.5408407794241064,"['Load(C1, P1, SFO)', 'Fly(P1, SFO, JFK)', 'Load(C2, P2, JFK)', 'Fly(P2, JFK, SFO)', 'Unload(C1, P1, JFK)', 'Unload(C2, P2, SFO)']"
Air Cargo Problem 2,breadth_first_search,3063,4274,25442,8.716775037553687,"['Load(C2, P2, JFK)', 'Load(C1, P1, SFO)', 'Fly(P2, JFK, ATL)', 'Load(C3, P2, ATL)', 'Fly(P1, SFO, JFK)', 'Unload(C1, P1, JFK)', 'Fly(P2, ATL, SFO)', 'Unload(C2, P2, SFO)', 'Unload(C3, P2, SFO)']"
Air Cargo Problem 2,depth_first_graph_search,42,43,260,0.06977192747378247,"['Fly(P3, ATL, SFO)', 'Fly(P1, SFO, ATL)', 'Fly(P2, JFK, ATL)', 'Fly(P1, ATL, JFK)', 'Fly(P2, ATL, SFO)', 'Load(C1, P2, SFO)', 'Fly(P2, SFO, ATL)', 'Fly(P1, JFK, ATL)', 'Fly(P2, ATL, JFK)', 'Fly(P1, ATL, SFO)', 'Unload(C1, P2, JFK)', 'Fly(P1, SFO, JFK)', 'Fly(P2, JFK, ATL)', 'Fly(P1, JFK, ATL)', 'Fly(P2, ATL, SFO)', 'Load(C3, P1, ATL)', 'Fly(P1, ATL, SFO)', 'Fly(P2, SFO, ATL)', 'Fly(P1, SFO, JFK)', 'Fly(P2, ATL, JFK)', 'Unload(C3, P1, JFK)', 'Fly(P1, JFK, ATL)', 'Load(C3, P2, JFK)', 'Fly(P1, ATL, SFO)', 'Fly(P2, JFK, SFO)', 'Fly(P1, SFO, JFK)', 'Unload(C3, P2, SFO)', 'Fly(P2, SFO, ATL)', 'Fly(P1, JFK, ATL)', 'Fly(P2, ATL, JFK)', 'Fly(P1, ATL, SFO)', 'Load(C2, P2, JFK)', 'Fly(P1, SFO, JFK)', 'Fly(P2, JFK, ATL)', 'Fly(P1, JFK, ATL)', 'Fly(P2, ATL, SFO)', 'Unload(C2, P2, SFO)']"
Air Cargo Problem 2,uniform_cost_search,4395,4397,36060,8.17541485362878,"['Load(C1, P1, SFO)', 'Load(C2, P2, JFK)', 'Fly(P2, JFK, ATL)', 'Load(C3, P2, ATL)', 'Fly(P1, SFO, JFK)', 'Fly(P2, ATL, SFO)', 'Unload(C3, P2, SFO)', 'Unload(C1, P1, JFK)', 'Unload(C2, P2, SFO)']"
Air Cargo Problem 2,greedy_best_first_graph_search with h_1,1353,1355,10660,2.5416235886513796,"['Load(C1, P1, SFO)', 'Load(C2, P2, JFK)', 'Load(C3, P3, ATL)', 'Fly(P1, SFO, ATL)', 'Fly(P2, JFK, ATL)', 'Fly(P3, ATL, JFK)', 'Fly(P1, ATL, JFK)', 'Unload(C1, P1, JFK)', 'Load(C1, P3, JFK)', 'Fly(P1, JFK, ATL)', 'Unload(C2, P2, ATL)', 'Fly(P3, JFK, ATL)', 'Load(C2, P3, ATL)', 'Fly(P3, ATL, JFK)', 'Unload(C3, P3, JFK)', 'Fly(P2, ATL, JFK)', 'Load(C3, P2, JFK)', 'Fly(P2, JFK, ATL)', 'Fly(P3, JFK, ATL)', 'Unload(C2, P3, ATL)', 'Fly(P3, ATL, JFK)', 'Load(C2, P2, ATL)', 'Fly(P2, ATL, SFO)', 'Unload(C3, P2, SFO)', 'Unload(C2, P2, SFO)', 'Fly(P2, SFO, ATL)', 'Unload(C1, P3, JFK)']"
